Model,R2,RMSE,MSE,MAE,MAX
random_forest,0.9954660816869633,21.55263723221293,464.5161716633711,9.333235640547988,773.73
decision_tree,0.9905817580198512,31.063364708343034,964.9326270035316,10.702798152675904,723.0
svr,0.9547219494569523,68.10945943175494,4638.898464085872,42.18993459678347,516.123545254624
linear_regression,0.9662540670413091,58.79958936531836,3457.39170953006,41.58838829182875,1227.987821810431
knn,0.994349248060085,24.061167412127933,578.9397772344472,8.856452051073077,807.5999999999999
